,q_tag,title,path,timestamp
0,0,logo.jpg,https://www.zu.ac.ae/main/files/contents/alumni/logo.jpg,2015-07-06 17:58:58
1,1,logo2.jpg,https://www.zu.ac.ae/main/files/contents/alumni/logo2.jpg,2015-07-06 17:58:58
2,2,WAGEL.jpg,https://www.zu.ac.ae/main/files/contents/alumni/WAGEL.jpg,2015-07-06 17:58:58
3,3,cv_checklist.pdf,https://www.zu.ac.ae/main/files/contents/alumni/docs/cv_checklist.pdf,2015-07-06 17:58:58
4,4,audit_form.doc,https://www.zu.ac.ae/main/files/contents/alumni/docs/audit_form.doc,2015-07-06 17:58:58
5,5,almaktoum_school.pdf,https://www.zu.ac.ae/main/files/contents/alumni/docs/almaktoum_school.pdf,2015-07-06 17:58:58
6,6,CCMS 2002 Graduate: Farah Al-Fardh,https://www.zu.ac.ae/main/files/contents/alumni/docs/farah_quilling.pdf,2015-07-06 17:58:57
7,7,CV Example,https://www.zu.ac.ae/main/files/contents/alumni/docs/cv_example.pdf,2015-07-06 17:58:57
8,8,sample_reference.pdf,https://www.zu.ac.ae/main/files/contents/alumni/docs/sample_reference.pdf,2015-07-06 17:58:57
9,9,Brief for Competition,https://www.zu.ac.ae/main/files/contents/alumni/docs/promanade_competition_brief.pdf,2015-07-06 17:58:57
10,10,FAQ_smbzheg.pdf,https://www.zu.ac.ae/main/files/contents/alumni/docs/FAQ_smbzheg.pdf,2015-07-06 17:58:57
11,11,eservices,https://www.eservices.zu.ac.ae/,
12,12,library,https://www.zu.ac.ae/main/en/library/services,
13,13,sasd,https://www.zu.ac.ae/main/en/SASD/services,
14,14,ice,https://www.zu.ac.ae/main/en/_ice/services,
